student_id,minutes_watched,paid_in_q2
3030,50.2,1
3031,136.7833,1
3034,4.3667,1
3048,20.7833,1
3050,27.8833,1
3062,75.7,1
3070,2590.9,1
3074,25.3,1
3075,350.9,1
3080,343.0,1
3082,26.25,1
3090,41.8,1
3092,1218.2,1
3099,83.8833,1
3107,54.8667,1
3112,44.8333,1
3115,103.4333,1
3130,0.4667,1
3138,26.5833,1
3146,1.1,1
3147,47.1667,1
3148,297.7333,1
3161,114.7833,1
3162,807.9333,1
3182,0.1333,1
3187,153.7333,1
3188,1218.1,1
3199,15.8833,1
3213,1575.35,1
3215,531.95,1
3219,300.8,1
3221,280.9,1
3239,756.8,1
3248,68.4667,1
3266,5.95,1
3286,11.95,1
3288,186.9833,1
3291,2758.9333,1
3297,193.8,1
3303,886.4333,1
3305,1233.6,1
3316,0.2,1
3338,1590.6667,1
3359,2234.5333,1
3367,1121.2667,1
3379,1.4,1
3381,54.95,1
3393,20.3333,1
3402,26.4667,1
3414,0.2333,1
3416,1.05,1
3419,2.5333,1
3420,1408.7,1
3423,908.7,1
3426,17.5,1
3430,1346.0,1
3441,45.7,1
3447,20.2,1
3453,295.8167,1
3466,503.4,1
3467,17.2333,1
3468,2016.9,1
3470,20.2333,1
3471,468.8,1
3473,35.8,1
3478,1648.3333,1
3481,5.9333,1
3494,816.2,1
3495,0.25,1
3498,1724.8333,1
3512,383.1167,1
3513,716.35,1
3524,349.2667,1
3538,1083.85,1
3550,167.3167,1
3558,1245.4667,1
3575,507.5667,1
3589,0.2833,1
3598,100.55,1
3611,67.85,1
3613,1191.2167,1
3626,824.05,1
3641,577.65,1
3647,1207.3667,1
3659,5.3667,1
3661,31.2667,1
3663,903.4333,1
3675,7.7667,1
3679,19.55,1
3681,273.8,1
3685,4.75,1
3687,779.3833,1
3688,170.4,1
3691,260.05,1
3700,131.0333,1
3702,73.3833,1
3704,21.8333,1
3707,662.2667,1
3708,1.3333,1
3709,1440.35,1
3712,1291.95,1
3728,5362.5,1
3750,155.45,1
3758,153.9667,1
3774,1069.7667,1
3779,5330.7,1
3780,251.3,1
3785,362.2333,1
3787,432.6667,1
3797,920.45,1
3799,230.2333,1
3809,7.3167,1
3814,164.1167,1
3815,210.95,1
3817,92.35,1
3824,17.3333,1
3832,258.3,1
3840,0.4167,1
3850,811.1667,1
3852,2014.2333,1
3856,1926.7333,1
3857,5.0,1
3860,799.35,1
3864,2346.1667,1
3865,455.4,1
3874,4.0667,1
3875,1552.9,1
3878,12.2,1
3897,0.2333,1
3908,79.9,1
3913,0.2,1
3914,25.75,1
3920,0.1333,1
3927,2786.1333,1
3931,1.9833,1
3934,98.7167,1
3938,100.7667,1
3943,167.1333,1
3949,214.0667,1
3965,9.5833,1
3969,56.2,1
3977,109.3167,1
3980,48.6,1
3983,55.85,1
3984,1394.2667,1
3985,0.3667,1
3987,206.7333,1
4001,362.3,1
4003,0.05,1
4013,1200.6167,1
4019,1245.9,1
4034,1226.8167,1
4040,740.5833,1
4043,2192.0667,1
4050,4047.1,1
4053,99.0667,1
4054,199.1667,1
4055,17.6667,1
4062,89.4333,1
4104,251.6167,1
4112,4.95,1
4132,2009.4667,1
4135,0.1667,1
4143,229.8,1
4156,1131.15,1
4158,19.9667,1
4160,602.4167,1
4162,1.65,1
4186,453.5,1
4220,39.9,1
4230,262.8,1
4231,1339.8333,1
4241,58.1,1
4266,330.6,1
4294,51.4333,1
4311,9.1667,1
4320,15.4,1
4322,51.8,1
4337,2037.2333,1
4347,34.9833,1
4360,410.6667,1
4363,55.5167,1
4371,27.8,1
4376,429.3667,1
4377,42.0333,1
4381,15.0833,1
4384,796.6333,1
4393,117.2167,1
4395,3.9,1
4400,2075.5333,1
4402,324.8,1
4404,1230.7,1
4413,833.65,1
4435,2418.95,1
4450,0.35,1
4458,69.9333,1
4464,67.8,1
4514,1224.6,1
4515,87.05,1
4522,1.3333,1
4537,678.3333,1
4539,0.05,1
4544,49.55,1
4551,0.1333,1
4553,0.1167,1
4568,103.5833,1
4574,36.1,1
4582,123.75,1
4585,635.9667,1
4593,2.8,1
4595,179.1,1
4609,19.2167,1
4613,654.1667,1
4615,0.3667,1
4617,1127.9,1
4621,1119.2167,1
4629,3625.6667,1
4640,587.6333,1
4646,298.7333,1
4685,12.5667,1
4686,9.3667,1
4692,106.05,1
4698,51.7333,1
4706,304.3833,1
4707,3924.15,1
4721,4833.3,1
4723,311.45,1
4739,3075.8667,1
4743,36.7,1
4745,225.2,1
4751,2.5,1
4756,290.25,1
4784,26.7333,1
4790,411.3,1
4793,10.2667,1
4795,510.0333,1
4797,10.5333,1
4801,359.4,1
4803,218.3,1
4827,20.7667,1
4828,0.4833,1
4829,1987.6667,1
4837,1635.0,1
4843,1784.65,1
